gs,growthForm,vesselSize,vesselNumber,Tree,Shrub,Liana,GF3,GF2
Abelia biflora,NA,0.002375829,389,NA,NA,NA,NA,NA
Abelia dielsii,NA,0.00115375,331,NA,NA,NA,NA,NA
Abelia integrifolia,NA,0.001134115,212,NA,NA,NA,NA,NA
Abelia mosanensis,NA,0.000855299,739,NA,NA,NA,NA,NA
Abelia serrata,NA,0.000706858,292,NA,NA,NA,NA,NA
Abelia spathulata,NA,0.000804248,287,NA,NA,NA,NA,NA
Abutilon fruticosum,NA,0.001452201,95,NA,NA,NA,NA,NA
Abutilon pannosum,NA,0.003117245,40,NA,NA,NA,NA,NA
Acacia albida,NA,0.012271846,4,NA,NA,NA,NA,NA
Acacia ataxacantha,S,0.013069811,13,NA,NA,NA,NA,NA
Acacia borleae,NA,0.004071504,15,NA,NA,NA,NA,NA
Acacia burkei,NA,0.008992024,6,NA,NA,NA,NA,NA
Acacia caffra,NA,0.010207035,21,NA,NA,NA,NA,NA
Acacia cyanophylla,NA,0.009160884,22,NA,NA,NA,NA,NA
Acacia davyi,NA,0.008332289,12,NA,NA,NA,NA,NA
Acacia erioloba,T,0.015174678,6,NA,NA,NA,NA,NA
Acacia erubescens,NA,0.008824734,8,NA,NA,NA,NA,NA
Acacia exuvialis,NA,0.001134115,16,NA,NA,NA,NA,NA
Acacia galpinii,NA,0.012076282,8,NA,NA,NA,NA,NA
Acacia gerrardii,T,0.011574413,7.5,NA,NA,NA,NA,NA
Acacia grandicornuta,NA,0.006503882,7,NA,NA,NA,NA,NA
Acacia haematoxylon,NA,0.005026548,19,NA,NA,NA,NA,NA
Acacia hebeclada,NA,0.008659015,5,NA,NA,NA,NA,NA
Acacia hereroensis,NA,0.003959192,12,NA,NA,NA,NA,NA
Acacia karroo,T,0.020867244,8,1,1,0,2,Arbor
Acacia luederitzii,NA,0.007542964,14,NA,NA,NA,NA,NA
Acacia mangium,S_T,0.016933724,7.7,1,0,0,Tree,Arbor
Acacia melanoxylon,T,0.011976733,6,1,1,0,2,Arbor
Acacia mellifera,T,0.007697687,14,NA,NA,NA,NA,NA
Acacia montis-usti,NA,0.005410608,8,NA,NA,NA,NA,NA
Acacia nebrownii,NA,0.002642079,15,NA,NA,NA,NA,NA
Acacia nigrescens,T,0.008659015,7,NA,NA,NA,NA,NA
Acacia nilotica,S_T,0.005541769,16,1,0,0,Tree,Arbor
Acacia permixta,NA,0.003525652,17,NA,NA,NA,NA,NA
Acacia polyacantha,T,0.02659044,5,NA,NA,NA,NA,NA
Acacia raddiana,NA,0.011309734,8,NA,NA,NA,NA,NA
Acacia redacta,NA,0.001590431,56,NA,NA,NA,NA,NA
Acacia reficiens,NA,0.013684778,9,NA,NA,NA,NA,NA
Acacia rehmanniana,NA,0.007088218,6,NA,NA,NA,NA,NA
Acacia robusta,T,0.015836769,5,NA,NA,NA,NA,NA
Acacia robynsiana,NA,0.00664761,6,NA,NA,NA,NA,NA
Acacia schweinfurthii,NA,0.003631681,15,NA,NA,NA,NA,NA
Acacia senegal,T,0.006729684,8.5,NA,NA,NA,NA,NA
Acacia sieberiana,T,0.018385386,5,NA,NA,NA,NA,NA
Acacia stuhlmannii,NA,0.005674502,10,NA,NA,NA,NA,NA
Acacia swazica,NA,0.007088218,14,NA,NA,NA,NA,NA
Acacia tortilis,S_T,0.009247671,7,NA,NA,NA,NA,NA
Acacia xanthophloea,NA,0.010386891,11,NA,NA,NA,NA,NA
Acer campbellii,NA,0.001963495,34,NA,NA,NA,NA,NA
Acer cappadocicum,T,0.002733971,42,NA,NA,NA,NA,NA
Acer caudatum,NA,0.004417865,22,NA,NA,NA,NA,NA
Acer oblongum,NA,0.003848451,28,NA,NA,NA,NA,NA
Acer obtusifolium,NA,0.001452201,100,NA,NA,NA,NA,NA
Acer pectinatum,NA,0.002206183,49,NA,NA,NA,NA,NA
Acer stachyophyllum,NA,0.001520531,23,NA,NA,NA,NA,NA
Acer sterculiaceum,NA,0.002375829,27,NA,NA,NA,NA,NA
Acrocarpus fraxinifolius,T,0.054325206,2,NA,NA,NA,NA,NA
Actinidia strigosa,NA,0.025730429,7,NA,NA,NA,NA,NA
Adenanthera falcataria,NA,0.049087385,3,NA,NA,NA,NA,NA
Adenocalymna alliaceum,NA,0.002375829,85,NA,NA,NA,NA,NA
Adenostoma fasciculatum,S,0.000855299,206,NA,NA,NA,NA,NA
Adenostoma sparsifolium,S,0.001452201,239,NA,NA,NA,NA,NA
Adinandra bockiana,NA,0.001109375,240.5,NA,NA,NA,NA,NA
Adinandra glischroloma,NA,0.000962113,243,NA,NA,NA,NA,NA
Adinandra hainanensis,T,0.002206183,129,NA,NA,NA,NA,NA
Adinandra millettii,S,0.001385442,172,NA,NA,NA,NA,NA
Adinandra nitida,NA,0.001590431,146,NA,NA,NA,NA,NA
Aesculus indica,NA,0.001256637,127,NA,NA,NA,NA,NA
Afzelia africana,T,0.021382465,3,NA,NA,NA,NA,NA
Agarista bracamorensis,NA,0.000415476,226,1,1,0,2,Arbor
Agarista duckei,NA,0.001194591,101,NA,NA,NA,NA,NA
Agarista eucalyptoides,NA,0.001194591,105,NA,NA,NA,NA,NA
Agarista organensis,NA,0.000415476,229,NA,NA,NA,NA,NA
Agarista populifolia,NA,0.000346361,229,NA,NA,NA,NA,NA
Agarista pulchella,NA,0.000380133,312,NA,NA,NA,NA,NA
Agarista salicifolia,NA,0.002124502,52,NA,NA,NA,NA,NA
Agarista uleana,NA,0.000452389,190,NA,NA,NA,NA,NA
Alangium alpinum,NA,0.006536476,19,NA,NA,NA,NA,NA
Alangium chinense,NA,0.01511237,12.5,NA,NA,NA,NA,NA
Alangium griffithii,NA,0.010386891,10,NA,NA,NA,NA,NA
Alangium grisolleoides,NA,0.00490167,9,NA,NA,NA,NA,NA
Alangium havilandii,NA,0.007389811,15,NA,NA,NA,NA,NA
Alangium javanicum,NA,0.010386891,15,NA,NA,NA,NA,NA
Alangium kurzii,NA,0.010568318,8,NA,NA,NA,NA,NA
Alangium longifolium,NA,0.003318307,14,NA,NA,NA,NA,NA
Alangium nobile,NA,0.012076282,13,NA,NA,NA,NA,NA
Alangium platanifolium,S_T,0.001520531,41,NA,NA,NA,NA,NA
Alangium premnifolium,NA,0.005944679,14,NA,NA,NA,NA,NA
Alangium ridleyi,NA,0.014526724,12,NA,NA,NA,NA,NA
Alangium rotundifolium,NA,0.013273229,5,NA,NA,NA,NA,NA
Alangium salviifolium,NA,0.00453646,21,NA,NA,NA,NA,NA
Alangium villosum,T,0.004185387,23,NA,NA,NA,NA,NA
Albizia chevalieri,NA,0.017671459,5,NA,NA,NA,NA,NA
Albizia malacophylla,T,0.017671459,5,NA,NA,NA,NA,NA
Albizia procera,S_T,0.050471649,2,NA,NA,NA,NA,NA
Alchornea triplinervia,T,0.023506182,10,1,1,1,3,0
Aldina insignis,NA,0.058964553,1,NA,NA,NA,NA,NA
Aldina petiolulata,NA,0.028055208,2,NA,NA,NA,NA,NA
Alectryon excelsus,T,0.003631681,16,NA,NA,NA,NA,NA
Alepis flavida,NA,0.000615752,131,NA,NA,NA,NA,NA
Alexa grandiflora,NA,0.027759113,2,1,0,0,Tree,Arbor
Allophylus cobbe,NA,0.007697687,18,0,1,0,Shrub,Arbor
Alluaudia ascendens,NA,0.005026548,40,NA,NA,NA,NA,NA
Alniphyllum fortunei,T,0.002733971,53,NA,NA,NA,NA,NA
Alniphyllum pterospermum,NA,0.004071504,35,NA,NA,NA,NA,NA
Alnus nepalensis,NA,0.005217007,21.9,NA,NA,NA,NA,NA
Alstonia actinophylla,NA,0.008824734,8,NA,NA,NA,NA,NA
Alstonia angustifolia,NA,0.005281017,31,NA,NA,NA,NA,NA
Alstonia angustiloba,NA,0.013478218,5,NA,NA,NA,NA,NA
Alstonia boonei,T,0.018385386,5,NA,NA,NA,NA,NA
Alstonia congensis,NA,0.013892908,5,NA,NA,NA,NA,NA
Alstonia costata,NA,0.001734945,119,NA,NA,NA,NA,NA
Alstonia iwahigensis,NA,0.011499015,6,NA,NA,NA,NA,NA
Alstonia macrophylla,T,0.005026548,49,NA,NA,NA,NA,NA
Alstonia pneumatophora,NA,0.016286016,5,NA,NA,NA,NA,NA
Alstonia rostrata,NA,0.004656626,13,NA,NA,NA,NA,NA
Alstonia scholaris,T,0.016286016,4,NA,NA,NA,NA,NA
Alstonia spatulata,NA,0.008824734,7,NA,NA,NA,NA,NA
Alstonia spectabilis,NA,0.004417865,38,NA,NA,NA,NA,NA
Altingia excelsa,NA,0.005674502,37,NA,NA,NA,NA,NA
Amanoa bracteosa,NA,0.013069811,8,NA,NA,NA,NA,NA
Amanoa caribaea,NA,0.014313882,8,NA,NA,NA,NA,NA
Amanoa congesta,T,0.008659015,8,1,0,0,Tree,Arbor
Amanoa guianensis,T,0.010568318,8,1,0,0,Tree,Arbor
Amanoa nanayensis,NA,0.009160884,8,1,0,0,Tree,Arbor
Amanoa oblongifolia,S_T,0.008659015,8,1,0,0,Tree,Arbor
Amanoa sinuosa,NA,0.009676891,8,1,0,0,Tree,Arbor
Amburana cearensis,T,0.029864765,4,1,0,0,Tree,Arbor
Amelanchier alnifolia,T,0.001385442,192,NA,NA,NA,NA,NA
Amelanchier ovalis,S,0.000490874,320,NA,NA,NA,NA,NA
Amelanchier sinica,NA,0.000572555,290,NA,NA,NA,NA,NA
Amesiodendron chinense,T,0.006939778,8,NA,NA,NA,NA,NA
Amphimas ferrugineus,T,0.047143525,2,NA,NA,NA,NA,NA
Amphitecna latifolia,NA,0.006361725,18,1,0,0,Tree,Arbor
Amygdalus kansuensis,NA,0.00107521,52,NA,NA,NA,NA,NA
Amygdalus mira,NA,0.001809557,159,NA,NA,NA,NA,NA
Anabasis articulata,NA,0.000615752,60,NA,NA,NA,NA,NA
Anabasis setifera,NA,0.000962113,80,NA,NA,NA,NA,NA
Anabasis syriaca,NA,0.000962113,60,NA,NA,NA,NA,NA
Anacardium excelsum,T,0.062537329,3,1,0,0,Tree,Arbor
Anadenanthera macrocarpa,NA,0.004417865,18.5,1,0,0,Tree,Arbor
Anagyris foetida,S,0.002375829,130,NA,NA,NA,NA,NA
Andersonia caerulea,NA,0.000113097,505,NA,NA,NA,NA,NA
Andersonia sprengelioides,NA,0.000113097,458,NA,NA,NA,NA,NA
