sp,support,source
Brosimum costaricanum,F,tropicos
Calycophyllum multiflorum,F,tropicos
Carica quercifolia,F,tropicos
Chiranthodendron pentadactylon,F,tropicos
Citharexylum myrianthum,F,tropicos
Dalbergia retusa,F,tropicos
Dalbergia spruceana,F,tropicos
Dalbergia tucurensis,F,tropicos
Duckeodendron cestroides,F,tropicos
Erythroxylum mexicanum,F,tropicos
Erythroxylum microphyllum,F,tropicos
Erythroxylum pacificum,F,tropicos
Erythroxylum rufum,F,tropicos
Erythroxylum shatona,F,tropicos
Garrya longifolia,F,tropicos
Helicostylis tovarensis,F,tropicos
Ilex amplifolia,F,tropicos
Ilex laurina,F,tropicos
Ilex nayana,F,tropicos
Ilex paraguariensis,F,tropicos
Ilex petiolaris,F,tropicos
Ilex rimbachii,F,tropicos
Ilex discolor,F,tropicos
Inga uraguensis,F,tropicos
Jacaranda cuspidifolia,F,tropicos
Rhamnus humboldtiana,F,tropicos
Lepidocordia williamsii,F,tropicos
Lonchocarpus leucanthus,F,tropicos
Malus sylvestris,F,tropicos
Myrcianthes pungens,F,tropicos
Naucleopsis concinna,F,tropicos
Pelliciera rhizophorae,F,tropicos
Peltophorum dubium,F,tropicos
Parapiptadenia excelsa,F,tropicos
Parapiptadenia rigida,F,tropicos
Prunus salicina,F,tropicos
Pterocarpus indicus,F,tropicos
Schefflera euryphylla,F,tropicos
Schefflera fragrans,F,tropicos
Semialarium mexicanum,F,tropicos
Sophora tetraptera,F,tropicos
Stenanona costaricensis,F,tropicos
Stenanona panamensis,F,tropicos
Styrax guyanensis,F,tropicos
Swartzia apetala,F,tropicos
Swartzia argentea,F,tropicos
Swartzia dipetala,F,tropicos
Swartzia flaemingii,F,tropicos
Swartzia laevicarpa,F,tropicos
Swartzia latifolia,F,tropicos
Swartzia laxiflora,F,tropicos
Swartzia pendula,F,tropicos
Swartzia tessmannii,F,tropicos
Symplocos celastrinea,F,tropicos
Roseodendron chryseum,F,tropicos
Zanthoxylum caribaeum,F,tropicos
Ziziphus chloroxylon,F,tropicos
Ziziphus guatemalensis,F,tropicos
Aphelandra scabra,F,tropicos
Bocconia vulcanica,F,tropicos
Bravaisia tubiflora,F,tropicos
Condalia ericoides,F,tropicos
Cornus excelsa,F,tropicos
Erythroxylum brevipes,F,tropicos
Erythroxylum cataractarum,F,tropicos
Erythroxylum coca,F,tropicos
Erythroxylum haughtii,F,tropicos
Erythroxylum havanense,F,tropicos
Erythroxylum mamacoca,F,tropicos
Erythroxylum williamsii,F,tropicos
Euphorbia cotinifolia,F,tropicos
Gaultheria anastomosans,F,tropicos
Gaultheria buxifolia,F,tropicos
Gaultheria eriophylla,F,tropicos
Gaultheria reticulata,F,tropicos
Gaultheria rigida,F,tropicos
Gaultheria strigosa,F,tropicos
Gaultheria tomentosa,F,tropicos
Ilex brasiliensis,F,tropicos
Ilex brevicuspis,F,tropicos
Ilex divaricata,F,tropicos
Jacaranda caroba,F,tropicos
Karwinskia latifolia,F,tropicos
Karwinskia mollis,F,tropicos
Lyonia squamulosa,F,tropicos
Petiveria alliacea,F,tropicos
Rosa multiflora,F,tropicos
Ruta chalepensis,F,tropicos
Spartium junceum,F,tropicos
Spiraea cantoniensis,F,tropicos
Spiraea japonica,F,tropicos
Styrax glabratus,F,tropicos
Tecoma castanifolia,F,tropicos
Thornea calcicola,F,tropicos
Vauquelinia californica,F,tropicos
Erythroxylum amplum,F,tropicos
Erythroxylum pelleterianum,F,tropicos
Ficus carica,F,tropicos
Acacia karroo,F,tropicos
Acacia melanoxylon,F,tropicos
Agarista bracamorensis,F,tropicos
Bocconia integrifolia,F,tropicos
Bocoa alterna,F,tropicos
Erythroxylum cuneifolium,F,tropicos
Erythroxylum glaucum,F,tropicos
Erythroxylum novogranatense,F,tropicos
Erythroxylum raimondii,F,tropicos
Erythroxylum ulei,F,tropicos
Hesperomeles heterophylla,F,tropicos
Hesperomeles lanuginosa,F,tropicos
Ilex argentina,F,tropicos
Ilex myricoides,F,tropicos
Ilex uniflora,F,tropicos
Kageneckia lanceolata,F,tropicos
Maclura tinctoria,F,tropicos
Polylepis incana,F,tropicos
Pyrus communis,F,tropicos
Sessea corymbiflora,F,tropicos
Styrax oblongus,F,tropicos
Symplocos reflexa,F,tropicos
Ziziphus thyrsiflora,F,tropicos
Aristolochia iquitensis,C,tropicos
Marcgravia stonei,C,tropicos
