"","order","family","genus","n1","n0","N","K","mean","lower","upper","p_mean","p_lower","p_upper"
"1","Acorales","Acoraceae","Acorus",0,2,2,2,0,0,0,0,0,0
"2","Alismatales","Araceae","Aglaodorum",0,1,1,1,0,0,0,0,0,0
"3","Alismatales","Araceae","Aglaonema",0,21,22,21,0,0,0,0,0,0
"4","Alismatales","Alismataceae","Albidella",0,0,1,0,0.086,0,1,0.086,0,1
"5","Alismatales","Alismataceae","Alisma",0,8,11,8,0,0,0,0,0,0
"6","Alismatales","Araceae","Alloschemone",2,0,2,2,2,2,2,1,1,1
"7","Alismatales","Araceae","Alocasia",0,74,80,74,0,0,0,0,0,0
"8","Alismatales","Potamogetonaceae","Althenia",0,2,2,2,0,0,0,0,0,0
"9","Alismatales","Araceae","Ambrosina",0,1,1,1,0,0,0,0,0,0
"10","Alismatales","Araceae","Amorphophallus",0,191,198,191,0,0,0,0,0,0
"11","Alismatales","Cymodoceaceae","Amphibolis",0,0,2,0,0.174,0,2,0.087,0,1
"12","Alismatales","Araceae","Amydrium",5,0,5,5,5,5,5,1,1,1
"13","Alismatales","Araceae","Anadendrum",5,7,12,12,5,5,5,0.416666666666667,0.416666666666667,0.416666666666667
"14","Alismatales","Araceae","Anaphyllopsis",0,3,3,3,0,0,0,0,0,0
"15","Alismatales","Araceae","Anaphyllum",0,2,2,2,0,0,0,0,0,0
"16","Alismatales","Araceae","Anchomanes",0,6,6,6,0,0,0,0,0,0
"17","Alismatales","Araceae","Anthurium",3,655,926,658,3,3,3,0.00323974082073434,0.00323974082073434,0.00323974082073434
"18","Alismatales","Araceae","Anubias",0,8,8,8,0,0,0,0,0,0
"19","Alismatales","Araceae","Apoballis",0,12,12,12,0,0,0,0,0,0
"20","Alismatales","Aponogetonaceae","Aponogeton",0,55,57,55,0,0,0,0,0,0
"21","Alismatales","Hydrocharitaceae","Appertiella",0,1,1,1,0,0,0,0,0,0
"22","Alismatales","Araceae","Aridarum",0,9,10,9,0,0,0,0,0,0
"23","Alismatales","Araceae","Ariopsis",0,2,2,2,0,0,0,0,0,0
"24","Alismatales","Araceae","Arisaema",0,177,180,177,0,0,0,0,0,0
"25","Alismatales","Araceae","Arisarum",0,4,4,4,0,0,0,0,0,0
"26","Alismatales","Araceae","Arophyton",0,7,7,7,0,0,0,0,0,0
"27","Alismatales","Araceae","Arum",0,29,30,29,0,0,0,0,0,0
"28","Alismatales","Araceae","Asterostigma",0,8,8,8,0,0,0,0,0,0
"29","Alismatales","Alismataceae","Astonia",0,0,1,0,0.114,0,1,0.114,0,1
"30","Alismatales","Araceae","Bakoa",0,2,2,2,0,0,0,0,0,0
"31","Alismatales","Alismataceae","Baldellia",0,1,3,1,0,0,0,0,0,0
"32","Alismatales","Araceae","Biarum",0,21,21,21,0,0,0,0,0,0
"33","Alismatales","Hydrocharitaceae","Blyxa",0,10,12,10,0,0,0,0,0,0
"34","Alismatales","Araceae","Bognera",0,1,1,1,0,0,0,0,0,0
"35","Alismatales","Araceae","Bucephalandra",0,2,2,2,0,0,0,0,0,0
"36","Alismatales","Alismataceae","Burnatia",0,1,1,1,0,0,0,0,0,0
"37","Alismatales","Alismataceae","Butomopsis",0,0,1,0,0.108,0,1,0.108,0,1
"38","Alismatales","Butomaceae","Butomus",0,1,2,1,0,0,0,0,0,0
"39","Alismatales","Araceae","Caladium",0,13,14,13,0,0,0,0,0,0
"40","Alismatales","Alismataceae","Caldesia",0,2,5,2,0,0,0,0,0,0
"41","Alismatales","Araceae","Calla",0,1,1,1,0,0,0,0,0,0
"42","Alismatales","Araceae","Callopsis",0,1,1,1,0,0,0,0,0,0
"43","Alismatales","Araceae","Carlephyton",0,3,3,3,0,0,0,0,0,0
"44","Alismatales","Araceae","Cercestis",8,0,10,8,10,10,10,1,1,1
"45","Alismatales","Araceae","Chlorospatha",0,28,28,28,0,0,0,0,0,0
"46","Alismatales","Araceae","Colletogyne",0,1,1,1,0,0,0,0,0,0
"47","Alismatales","Araceae","Colocasia",0,8,8,8,0,0,0,0,0,0
"48","Alismatales","Araceae","Croatiella",0,1,1,1,0,0,0,0,0,0
"49","Alismatales","Araceae","Cryptocoryne",0,54,63,54,0,0,0,0,0,0
"50","Alismatales","Araceae","Culcasia",22,2,28,24,26,26,26,0.928571428571429,0.928571428571429,0.928571428571429
