"","tmin.mean","tmin.sd","tmin.01","tmin.025","tmin.05","tmin.50","tmin.95","tmin.975","tmin.99","tseas.mean","tseas.sd","tseas.01","tseas.025","tseas.05","tseas.50","tseas.95","tseas.975","tseas.99","pmin.mean","pmin.sd","pmin.01","pmin.025","pmin.05","pmin.50","pmin.95","pmin.975","pmin.99","pseas.mean","pseas.sd","pseas.01","pseas.025","pseas.05","pseas.50","pseas.95","pseas.975","pseas.99","gbif.records"
"Abies concolor",-44.8693586698337,38.6420593567635,-150,-126,-107,-42,21,47,59,6156.09422011085,894.332412570501,3942,4361,4740,6111,7679,7974.15,8500.84,10.7775138558987,10.9959826042897,0,1,2,7,34,38,45,64.6896278701504,18.5800690319986,17.62,21,24,71,84,87,92,1265
"Acacia erioloba",44.4822335025381,29.1003881572803,-2.16,-0.0999999999999996,3,39,86,90.2999999999999,123.36,3932.54822335025,1047.6657308665,1987.4,2108,2243,3945,5405.6,5481.6,5586.84,2.33502538071066,2.92934512852371,0,0,0,1,7,8,8,86.4771573604061,19.4266211216645,33,44.4,62.6,84,114,121,121,198
"Acacia gerrardii",106.92555331992,46.666503958183,11.64,18,31.6,110,178,183,187.04,2218.84507042254,1322.49239667186,286.48,328,381.8,2190,3874,6032.79999999998,6857,9.24346076458752,10.8644081945735,0,0,0,6,33,39,52,78,23.0154225991911,29,40,42,77,118,124.6,126,502
"Acacia karroo",56.3695408734602,41.4834243669745,-21,-11.4,-3,52,124.6,136.4,148,3474.07502799552,981.827496637636,1764,2120.5,2203,3325,5253,5347.7,5860.72,13.8723404255319,11.4088042672204,0,0,1,10,34,40,42,61.9552071668533,20.3632981276434,14,16,20.6,64,94,103.7,111,925
"Acacia nigrescens",99.8327137546468,37.5745761993835,31.36,35.8,46,97,165,189,189.32,2832.5092936803,685.75359251856,1220.68,1374,1410,2779,3934.6,4030,4299.72,8.5910780669145,7.31360891256652,0,0,0,9,20,28.2,33,80.0669144981413,19.9629129588435,41,48.6,52,80,115,118,118.32,271
"Acacia nilotica",120.355893536122,47.9759059409641,15,15,33,126,193,207.15,218,2648.13384030418,1247.91951077015,627.28,746,908,2566,5101.9,5343.75,6262,7.80988593155894,9.53582013590334,0,0,0,5,25,33,42,86.8722433460076,26.7928597578658,38,43,49,83,134,140,146,1344
"Acacia polyacantha",146.717868338558,42.0893722122306,20,55,65,152,214,214.075,219,1694.61755485893,715.019953046712,293,322.775,433.65,1632,2892,3237,3545.62,7.83385579937304,11.0384221731806,0,0,0,4,28,45.0749999999999,50,88.0407523510972,24.0246125901776,40.37,46,52.85,89.5,125.15,132.225,155,641
"Acacia tortilis",96.3232682060391,49.6400776047169,-2,7,15,104,165,177.95,203.9,2944.77442273535,1302.75482842112,629,699.65,857,2996,5339.3,5620.55,5915.08,5.57904085257549,7.03792884979447,0,0,0,3,18.9,23,33,87.7939609236234,27.070886893512,42,50.05,53,81,140,149.9,155,565
"Acer cappadocicum",-24.3913043478261,54.2240921907693,-162.6,-133,-113,-8,50,61,96.2000000000004,5750.87577639752,1430.53592124492,3819,4061,4314,5285,8638,8732,8732,19.6211180124224,21.1739651752391,2,2,3,12,75,80,80,70.8260869565217,31.5954041787313,9,9,10,80,103,103,121,162
"Adenostoma fasciculatum",34.1539534883721,26.9608064063842,-38.51,-16,-9,36.5,79.55,86,91,4587.48837209302,1292.91423597846,1980,2066.725,2408,4445,6453.65,6652.275,6885,1.68558139534884,1.68582255417293,0,0,0,2,3,3,5,85.966976744186,7.51987146772047,62,68,73,86,99,100,101,2184
"Adenostoma sparsifolium",13.1428571428571,21.2620170399401,-16,-16,-15.5,6,51,57,57,5457.02463054187,822.804385125628,3398,3800.5,3849,5828.5,6278.5,6885,6885,1.97783251231527,1.26569211302158,0,0,0,3,3,3,3,77.8029556650246,9.30952471943296,62,62,66,76,95.75,96,98,416
"Alangium chinense",43.5468904244817,59.8942333818214,-64.88,-43.7,-24,28,170,175,187,5501.23297137216,2928.49242620409,281,300,419,6377,8960,9082,9266,25.4580454096742,14.9943160156305,3,4.3,5,22,50,53,60,64.928923988154,15.542269360828,27,36,43,62,94,97,99,1017
